"","umpd_case_number","type","type_detail","disposition","date_incident","arrest_number","notes","race","sex","arrest_date"
"758","2023-00048495","death investigation","NA","active/pending","2023-06-01","NA","NA","NA","NA","NA"
"759","2023-00048499","vandalism","NA","investigation pending","2023-05-31","NA","NA","NA","NA","NA"
"760","2023-00048578","theft","NA","active/pending","2023-05-31","NA","NA","NA","NA","NA"
"761","2023-00048580","vandalism","NA","investigation pending","2023-05-22","NA","NA","NA","NA","NA"
"762","2023-00048621","injured/sick person","NA","cbe","2023-06-01","NA","NA","NA","NA","NA"
"763","2023-00048900","injured/sick person","NA","cbe","2023-06-02","NA","NA","NA","NA","NA"
"764","2023-00048913","vandalism","NA","investigation pending","2023-06-01","NA","NA","NA","NA","NA"
"765","2023-00048996","damaged property","NA","cbe","2023-06-02","NA","NA","NA","NA","NA"
"766","2023-00049278","damage to state property","NA","active/pending","2023-06-01","NA","NA","NA","NA","NA"
"767","2023-00049292","injured/sick person","NA","cbe","2023-06-03","NA","NA","NA","NA","NA"
"768","2023-00049741","assault","NA","arrest","2023-06-04","23848","ASSAULT-SEC DEGREE-Simple, Not Aggravated; Disorderly Conduct; Reckless Endangerment","black","male","2023-07-06"
"769","2023-00049900","theft","NA","arrest","2023-06-05","23798","BURGLARY-4TH DEGREE THEFT; School Trespassing On Ground; THEFT: $100 TO UNDER $1,500-Bicycle","black","male","2023-06-05"
"770","2023-00049946","emergency petition","NA","cbe","2023-06-05","NA","NA","NA","NA","NA"
"771","2023-00050065","assist other agency","other","cbe","2023-06-05","NA","NA","NA","NA","NA"
"772","2023-00050066","theft","NA","investigation pending","2023-06-05","NA","NA","NA","NA","NA"
"773","2023-00050153","threat assessment","NA","active/pending","2023-05-27","NA","NA","NA","NA","NA"
"774","2023-00050383","theft","NA","summons issued","2023-06-06","NA","NA","NA","NA","NA"
"775","2023-00050427","damage to state property","NA","active/pending","2023-06-05","NA","NA","NA","NA","NA"
"776","2023-00050508","suspicious activity","NA","active/pending","2023-06-07","NA","NA","NA","NA","NA"
"777","2023-00050696","harassment/stalking (title ix related)","NA","cbe","2023-06-08","NA","NA","NA","NA","NA"
"778","2023-00050928","assist other agency","theft","cbe","2023-06-09","NA","NA","NA","NA","NA"
"779","2023-00051026","theft","NA","investigation pending","2023-06-04","NA","NA","NA","NA","NA"
"780","2023-00051159","assist other agency","assault","active/pending","2023-06-08","NA","NA","NA","NA","NA"
"781","2023-00051366","vandalism","NA","investigation pending","2023-06-10","NA","NA","NA","NA","NA"
"782","2023-00051446","injured/sick person","NA","cbe","2023-06-10","NA","NA","NA","NA","NA"
"783","2023-00051517","suspicious person/auto","NA","cbe","2023-06-10","NA","NA","NA","NA","NA"
"784","2023-00051587","assist other agency (title ix related)","indecent exposure","active/pending","2023-06-11","NA","NA","NA","NA","NA"
"785","2023-00051609","assist fire department","NA","active/pending","2023-06-11","NA","NA","NA","NA","NA"
"786","2023-00051684","dept property damage/loss","NA","active/pending","2023-06-10","NA","NA","NA","NA","NA"
"787","2023-00051775","cds violation","NA","arrest","2023-06-11","23799","CDS:Possession Cannabis-Civil Amount","black","male","2023-06-11"
"788","2023-00052026","damage to state property","NA","active/pending","2023-06-01","NA","NA","NA","NA","NA"
"789","2023-00052030","suspicious activity","NA","active/pending","2023-06-12","NA","NA","NA","NA","NA"
"790","2023-00052083","injured officer","NA","cbe","2023-06-12","NA","NA","NA","NA","NA"
"791","2023-00052291","lost property","NA","cbe","2023-05-17","NA","NA","NA","NA","NA"
"792","2023-00052345","assist other agency","other","cbe","2023-06-13","NA","NA","NA","NA","NA"
"793","2023-00052346","emergency petition","NA","cbe","2023-06-13","NA","NA","NA","NA","NA"
"794","2023-00052645","assist other agency","shoplifter","cbe","2023-06-14","NA","NA","NA","NA","NA"
"795","2023-00052649","theft","NA","investigation pending","2023-06-14","NA","NA","NA","NA","NA"
"796","2023-00052666","suspicious person/auto","NA","active/pending","2023-06-14","NA","NA","NA","NA","NA"
"797","2023-00052794","dwi/dui","NA","arrest","2023-06-15","23800","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Driving veh. in excess of reasonable and prudent speed on hwy.; Failure to display two lighted front lamps when required; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","black","female","2023-06-15"
"798","2023-00052853","theft","NA","investigation pending","2023-06-14","NA","NA","NA","NA","NA"
"799","2023-00052978","vandalism","NA","active/pending","2023-06-15","NA","NA","NA","NA","NA"
"800","2023-00053244","other incident","NA","active/pending","2023-06-16","NA","NA","NA","NA","NA"
"801","2023-00053354","stolen motor vehicle","NA","active/pending","2023-06-17","NA","NA","NA","NA","NA"
"802","2023-00053585","dwi/dui","NA","arrest","2023-06-17","23808","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-06-17"
"803","2023-00053631","injured/sick person","NA","cbe","2023-06-18","NA","NA","NA","NA","NA"
"804","2023-00053634","dwi/dui","NA","arrest","2023-06-18","23801","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol","black","male","2023-06-18"
"805","2023-00053996","trespassing","NA","active/pending","2023-06-19","NA","NA","NA","NA","NA"
"806","2023-00054005","assist other agency","robbery","cbe","2023-06-19","NA","NA","NA","NA","NA"
"807","2023-00054006","dept property damage/loss","NA","cbe","2023-06-19","NA","NA","NA","NA","NA"
"808","2023-00054020","sex offense (title ix related)","NA","cbe","2023-06-19","NA","NA","NA","NA","NA"
"809","2023-00054101","vandalism","NA","active/pending","2023-06-19","NA","NA","NA","NA","NA"
"810","2023-00054159","dwi/dui","NA","arrest","2023-06-20","23802","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Driving veh. on hwy. at speed exceeding speed limit by 30 to 39 mph; Driving,attempt to drive veh. not equipped with an ingition interlock as required by Ignition Interlock System Prog; Fail driver mk lane chng avail lane not immed adj stopped,standing,parked veh on hwy disp(vis sig,haz lts,rd flrs or caut sig); Failure of individual driving on hwy. to display lic. to uniformed police on demand; Person driving motor veh. on (hwy., public use property) on suspended lic. and privilege; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","black","male","2023-06-20"
"811","2023-00054231","accident","NA","cbe","2023-06-20","NA","NA","NA","NA","NA"
"812","2023-00054248","accident - departmental","NA","cbe","2023-06-20","NA","NA","NA","NA","NA"
"813","2023-00054251","damage to state property","NA","cbe","2023-06-20","NA","NA","NA","NA","NA"
"814","2023-00054287","recovered stolen motor vehicle","NA","warrant issued","2023-06-20","NA","NA","NA","NA","NA"
"815","2023-00054294","stolen motor vehicle","NA","warrant issued","2023-06-20","NA","NA","NA","NA","NA"
"816","2023-00054467","dwi/dui","NA","arrest","2023-06-21","23806","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Driver failure to obey properly placed traffic control device instructions; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-06-21"
"817","2023-00054513","theft","NA","investigation pending","2023-06-20","NA","NA","NA","NA","NA"
"818","2023-00054558","theft","NA","investigation pending","2023-06-20","NA","NA","NA","NA","NA"
"819","2023-00054649","lost property","NA","cbe","2023-06-21","NA","NA","NA","NA","NA"
"820","2023-00054686","extortion (title ix related)","NA","active/pending","2023-06-21","NA","NA","NA","NA","NA"
"821","2023-00054874","theft from auto","NA","investigation pending","2023-06-13","NA","NA","NA","NA","NA"
"822","2023-00054899","vandalism","NA","cbe","2023-06-21","NA","NA","NA","NA","NA"
"823","2023-00054904","warrant/summons service","NA","arrest","2023-06-22","NA","NA","NA","NA","NA"
"824","2023-00054958","extortion","NA","active/pending","2023-06-21","NA","NA","NA","NA","NA"
"825","2023-00055101","assist other agency","other","active/pending","2023-06-23","NA","NA","NA","NA","NA"
"826","2023-00055154","suspicious person/auto","NA","active/pending","2023-06-23","NA","NA","NA","NA","NA"
"827","2023-00055167","theft","NA","warrant issued","2023-06-22","NA","NA","NA","NA","NA"
"828","2023-00055179","vandalism","NA","active/pending","2023-06-23","NA","NA","NA","NA","NA"
"829","2023-00055223","suspicious person/auto","NA","active/pending","2023-06-23","NA","NA","NA","NA","NA"
"830","2023-00055228","theft","NA","warrant issued","2023-05-23","NA","NA","NA","NA","NA"
"831","2023-00055254","theft","NA","investigation pending","2023-06-22","NA","NA","NA","NA","NA"
"832","2023-00055261","recovered stolen motor vehicle","NA","arrest","2023-06-23","23814","Attempt by driver to elude uniformed police by fleeing on foot; CDS POSS W/INT DIST-CANNABIS; CDS: POSS PARAPHERNALIA; CDS: POSSESS-NOT CANNABIS; MOTOR VEHICLE/UNLAWFUL TAKING","black","male","2023-06-23"
"833","2023-00055298","other incident","NA","cbe","2023-05-18","NA","NA","NA","NA","NA"
"834","2023-00055428","other incident","NA","cbe","2023-06-24","NA","NA","NA","NA","NA"
"835","2023-00055666","assist other agency","other","active/pending","2023-06-25","NA","NA","NA","NA","NA"
"836","2023-00055667","other incident","NA","active/pending","2023-06-25","NA","NA","NA","NA","NA"
"837","2023-00055678","check on the  welfare","NA","cbe","2023-06-25","NA","NA","NA","NA","NA"
"838","2023-00056005","trespassing","NA","arrest","2023-06-26","23809","School Trespassing On Ground","black","male","2023-06-26"
"839","2023-00056209","assist other agency","other","cbe","2023-06-26","NA","NA","NA","NA","NA"
"840","2023-00056245","assault","NA","active/pending","2023-06-19","NA","NA","NA","NA","NA"
"841","2023-00056250","damage to state property","NA","active/pending","2023-06-26","NA","NA","NA","NA","NA"
"842","2023-00056310","dwi/dui","NA","arrest","2023-06-27","23811","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Motor veh., Trailer, Combination end veh.) mfrd. after June 1, 1971, w/o adequate tail lamps; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-06-27"
"843","2023-00056384","trespassing","NA","arrest","2023-06-27","23812","Possess/Use False Government Identification Document; School Trespassing On Ground","asian","female","2023-06-27"
"844","2023-00056390","other incident","NA","cbe","2023-06-27","NA","NA","NA","NA","NA"
"845","2023-00056573","dwi/dui","NA","arrest","2023-06-27","23813","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol","white","male","2023-06-28"
"846","2023-00056581","suspicious person/auto","NA","cbe","2023-06-28","NA","NA","NA","NA","NA"
"847","2023-00056590","suspicious person/auto","NA","cbe","2023-06-28","NA","NA","NA","NA","NA"
"848","2023-00056783","fire","NA","active/pending","2023-06-28","NA","NA","NA","NA","NA"
"849","2023-00056817","theft","NA","arrest","2023-06-28","23822","BURGLARY-4TH DEGREE/TOOLS; Malicious Destruction Property/Value -$1000; THEFT: $100 TO UNDER $1,500-Bicycle","black","male","2023-06-28"
"850","2023-00056843","assault","NA","unfounded","2023-06-28","NA","NA","NA","NA","NA"
"851","2023-00056848","suspicious activity","NA","cbe","2023-06-29","NA","NA","NA","NA","NA"
"852","2023-00056854","theft","NA","active/pending","2023-06-25","NA","NA","NA","NA","NA"
"853","2023-00056880","trespassing","NA","arrest","2023-06-29","23816","Malicious Destruction Property/Value -$1000; School Trespassing On Ground; School Trespassing/Damage Property","black","male","2023-06-29"
"854","2023-00056884","injured/sick person","NA","cbe","2023-06-29","NA","NA","NA","NA","NA"
"855","2023-00056992","theft","NA","summons issued","2023-05-29","NA","NA","NA","NA","NA"
"856","2023-00057236","theft","NA","investigation pending","2023-06-29","NA","NA","NA","NA","NA"
"857","2023-00057277","recovered stolen property","NA","cbe","2023-06-30","NA","NA","NA","NA","NA"
"858","2023-00057300","assist other agency (title ix related), 4800 block of  berwyn house  rd","title ix incident non criminal, NA","cbe, 4800 block of  berwyn house  rd","2023-06-30, NA","NA","NA","NA","NA","NA"
"859","2023-00057472","assist other agency","carjacking","active/pending","2023-07-01","NA","NA","NA","NA","NA"
"860","2023-00057640","recovered stolen motor vehicle","NA","arrest","2023-07-01","23845","MOTOR VEHICLE/UNLAWFUL TAKING","white","female","2023-07-26"
"861","2023-00057648","assault","NA","arrest","2023-07-01","23817","ASSAULT-SEC DEGREE-Simple, Not Aggravated; Obstructing and Hindering; School Trespassing On Ground","black","male","2023-07-01"
"862","2023-00057666","robbery","NA","active/pending","2023-07-01","NA","NA","NA","NA","NA"
"863","2023-00057673","fraud","NA","arrest","2023-07-01","23827","False Statement to Officer; FRAUD-PER. IDENT. AVOID PROS; Obstructing and Hindering","white","male","2023-07-02"
"864","2023-00057826","injured/sick person","NA","cbe","2023-07-02","NA","NA","NA","NA","NA"
"865","2023-00057931","stolen motor vehicle","NA","cbe","2023-07-02","NA","NA","NA","NA","NA"
"866","2023-00057985","dwi/dui","NA","arrest","2023-07-03","23821","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Driver of motor veh. following veh. closer than reasonable and prudent; Failure of licensee to notify Adm. of change of address within 30 days; Failure to drive veh. on right half of roadway when required; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","black","male","2023-07-03"
"867","2023-00058042","trespassing","NA","arrest","2023-07-03","23818","School Trespassing On Ground","black","male","2023-07-03"
"868","2023-00058770","damage to state property","NA","active/pending","2023-06-20","NA","NA","NA","NA","NA"
"869","2023-00059100","other incident","NA","cbe","2023-07-05","NA","NA","NA","NA","NA"
"870","2023-00059112","lost property","NA","cbe","2023-06-30","NA","NA","NA","NA","NA"
"871","2023-00059130","damage to state property","NA","cbe","2023-07-06","NA","NA","NA","NA","NA"
"872","2023-00059661","dwi/dui","NA","arrest","2023-07-08","23825","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Failure of licensee to notify Adm. of change of address within 30 days; Failure to properly equip and locate headlamps on motor veh.; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","black","female","2023-07-08"
"873","2023-00059670","injured/sick person","NA","cbe","2023-07-08","NA","NA","NA","NA","NA"
"874","2023-00059672","dwi/dui","NA","arrest","2023-07-08","23824","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Driver fail to stop at steady circular red signal; Driver failure to obey properly placed traffic control device instructions; Driving veh. in excess of reasonable and prudent speed on hwy.; Failure of veh. to yield intersection right-of-way to another veh.; Failure to display registration card upon demand by police officer; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Possessing more than one current driver's license at any one time; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-07-08"
"875","2023-00059675","dwi/dui","NA","arrest","2023-07-08","23823","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se","white","male","2023-07-08"
"876","2023-00059869","other incident","NA","investigation pending","2023-07-08","NA","NA","NA","NA","NA"
"877","2023-00059906","injured/sick person","NA","cbe","2023-07-09","NA","NA","NA","NA","NA"
"878","2023-00059916","injured/sick person","NA","cbe","2023-07-09","NA","NA","NA","NA","NA"
"879","2023-00060034","injured/sick person","NA","cbe","2023-07-09","NA","NA","NA","NA","NA"
"880","2023-00060272","warrant/summons service","NA","arrest","2023-07-10","NA","NA","NA","NA","NA"
"881","2023-00060294","death investigation","NA","active/pending","2023-04-18","NA","NA","NA","NA","NA"
"882","2023-00060295","theft","NA","unfounded","2023-06-30","NA","NA","NA","NA","NA"
"883","2023-00060334","damage to state property","NA","cbe","2023-07-10","NA","NA","NA","NA","NA"
"884","2023-00060539","injured/sick person","NA","cbe","2023-07-11","NA","NA","NA","NA","NA"
"885","2023-00060660","suspicious activity","NA","cbe","2023-07-11","NA","NA","NA","NA","NA"
"886","2023-00061383","suspicious activity","NA","cbe","2023-07-13","NA","NA","NA","NA","NA"
"887","2023-00061619","suspicious activity","NA","cbe","2023-07-14","NA","NA","NA","NA","NA"
"888","2023-00061652","damage to state property","NA","active/pending","2023-07-14","NA","NA","NA","NA","NA"
"889","2023-00061878","assist other agency","other","cbe","2023-07-15","NA","NA","NA","NA","NA"
"890","2023-00061892","dwi/dui","NA","arrest","2023-07-15","23829","(Driving, Attempting to drive) motor veh. on hwy. w/o req. license and authorization; (Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, attempting to drive) veh. while so far impaired by (drug(s) or drug(s) and alcohol) cannot drive safely; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Driver failure to obey properly placed traffic control device instructions; Failure to drive veh. on right half of roadway when required; Holder of learner's permit driving with unauthorized person occupying front seat; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","female","2023-07-15"
"891","2023-00062116","injured/sick person","NA","cbe","2023-07-15","NA","NA","NA","NA","NA"
"892","2023-00062215","dwi/dui","NA","arrest","2023-07-16","23830","(Driving, Attempting to drive) motor veh. on hwy. w/o req. license and authorization; (Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, attempting to drive) veh. while so far impaired by (drug(s) or drug(s) and alcohol) cannot drive safely; (Driving, Attempting to drive) veh. while under the influence of (alcohol, alcohol per se) while transporting a minor; Driver failure to obey properly placed traffic control device instructions; Failure of individual driving on hwy. to display lic. to uniformed police on demand; Failure of veh. on hwy. to display (lighted lamps, illuminating devices) in unfavorable visibility conditions; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-07-16"
"893","2023-00062309","injured/sick person","NA","cbe","2023-07-16","NA","NA","NA","NA","NA"
"894","2023-00062320","vandalism","NA","cbe","2023-07-16","NA","NA","NA","NA","NA"
"895","2023-00062402","other incident","NA","investigation pending","2023-07-16","NA","NA","NA","NA","NA"
"896","2023-00062565","other incident","NA","cbe","2023-07-17","NA","NA","NA","NA","NA"
"897","2023-00062818","other incident","NA","investigation pending","2023-07-17","NA","NA","NA","NA","NA"
"898","2023-00062971","title ix incident non criminal","NA","cbe","2023-07-17","NA","NA","NA","NA","NA"
"899","2023-00062985","theft","NA","unfounded","2023-07-17","NA","NA","NA","NA","NA"
"900","2023-00063403","recovered stolen motor vehicle","NA","arrest","2023-07-19","NA","NA","NA","NA","NA"
"901","2023-00063422","injured/sick person","NA","cbe","2023-07-19","NA","NA","NA","NA","NA"
"902","2023-00063440","recovered stolen motor vehicle","NA","cbe","2023-07-19","NA","NA","NA","NA","NA"
"903","2023-00063545","injured/sick person","NA","cbe","2023-07-20","NA","NA","NA","NA","NA"
"904","2023-00063592","injured/sick person","NA","cbe","2023-07-19","NA","NA","NA","NA","NA"
"905","2023-00063593","emergency petition","NA","cbe","2023-07-20","NA","NA","NA","NA","NA"
"906","2023-00063596","theft","NA","cbe","2023-07-16","NA","NA","NA","NA","NA"
"907","2023-00063699","robbery","NA","active/pending","2023-07-20","NA","NA","NA","NA","NA"
"908","2023-00063877","other incident","NA","cbe","2023-07-21","NA","NA","NA","NA","NA"
"909","2023-00063879","animal complaint","NA","cbe","2023-07-21","NA","NA","NA","NA","NA"
"910","2023-00063884","assist other agency","other","cbe","2023-07-21","NA","NA","NA","NA","NA"
"911","2023-00063990","pedestrian struck","NA","cbe","2023-07-21","NA","NA","NA","NA","NA"
"912","2023-00064079","dwi/dui","NA","arrest","2023-07-22","23839","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Driver fail to stop at steady circular red signal; Driver failure to obey properly placed traffic control device instructions; Failure of individual driving on hwy. to display lic. to uniformed police on demand; Failure of individual driving on hwy. to have lic. with him; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-07-22"
"913","2023-00064169","theft","NA","investigation pending","2023-07-20","NA","NA","NA","NA","NA"
"914","2023-00064187","theft","NA","investigation pending","2023-02-28","NA","NA","NA","NA","NA"
"915","2023-00064289","burglary","NA","investigation pending","2023-07-21","NA","NA","NA","NA","NA"
"916","2023-00064290","theft","NA","arrest","2023-07-22","23838","Theft Less Than $100 Shoplifting","white","male","2023-07-22"
"917","2023-00064291","theft","NA","investigation pending","2023-07-20","NA","NA","NA","NA","NA"
"918","2023-00064414","dwi/dui","NA","arrest","2023-07-23","23837","(Driving, Attempting to drive) motor veh. on hwy. w/o req. license and authorization; (Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Driver failure to make right turn from right roadway curb and edge; Failure of driver to drive to curb upon signal by (emergency, police) veh.; Failure of veh. on hwy. to display (lighted lamps, illuminating devices) in unfavorable visibility conditions; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","female","2023-07-23"
"919","2023-00064894","hazardous condition","NA","cbe","2023-07-24","NA","NA","NA","NA","NA"
"920","2023-00064935","cds violation","NA","arrest","2023-07-24","23843","CDS:Possession Cannabis-Personal Amount","black","male","2023-07-24"
"921","2023-00065027","dwi/dui","NA","arrest","2023-07-24","23840","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Failure to stop after accident involving damage to attended (veh., property)","black","female","2023-07-24"
"922","2023-00065033","assault","NA","cbe","2023-07-24","NA","NA","NA","NA","NA"
"923","2023-00065221","stolen motor vehicle","NA","investigation pending","2023-07-24","NA","NA","NA","NA","NA"
"924","2023-00065253","extortion","NA","cbe","2023-07-23","NA","NA","NA","NA","NA"
"925","2023-00065271","vandalism","NA","warrant issued","2023-07-25","NA","NA","NA","NA","NA"
"926","2023-00065281","other incident","NA","cbe","2023-07-25","NA","NA","NA","NA","NA"
"927","2023-00065538","vandalism","NA","investigation pending","2023-07-26","NA","NA","NA","NA","NA"
"928","2023-00065552","injured/sick person","NA","cbe","2023-07-26","NA","NA","NA","NA","NA"
"929","2023-00065627","injured/sick person","NA","cbe","2023-07-26","NA","NA","NA","NA","NA"
"930","2023-00065700","theft from auto","NA","investigation pending","2023-07-26","NA","NA","NA","NA","NA"
"931","2023-00065925","theft","NA","cbe","2023-07-27","NA","NA","NA","NA","NA"
"932","2023-00065961","suspicious activity","NA","cbe","2023-07-23","NA","NA","NA","NA","NA"
"933","2023-00066236","theft","NA","investigation pending","2023-07-27","NA","NA","NA","NA","NA"
"934","2023-00066282","stolen motor vehicle","NA","arrest","2023-07-28","23844","MOTOR VEHICLE/UNLAWFUL TAKING","white","male","2023-07-28"
"935","2023-00066472","dwi/dui","NA","arrest","2023-07-29","23846","(Driving, Attempting to drive) motor veh. on hwy. w/o req. license and authorization; (Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol","white","male","2023-07-29"
"936","2023-00066474","dwi/dui","NA","arrest","2023-07-29","23851","(Driving, Attempting to drive) veh. while impaired by controlled dangerous substance; CDS: POSS-CANNABIS OVER CIVIL USE","black","male","2023-07-29"
"937","2023-00066672","vehicle tampering","NA","warrant issued","2023-07-27","NA","NA","NA","NA","NA"
"938","2023-00067143","other incident","NA","cbe","2023-07-31","NA","NA","NA","NA","NA"
"939","2023-00067153","damage to state property","NA","unfounded","2023-07-28","NA","NA","NA","NA","NA"
"940","2023-00067263","theft","NA","investigation pending","2023-07-27","NA","NA","NA","NA","NA"
"941","2023-00067280","other incident, 4100 block of  campus  dr","NA","cbe, 4100 block of  campus  dr","2023-07-28, NA","NA","NA","NA","NA","NA"
"942","2023-00067624","theft","NA","investigation pending","2023-07-25","NA","NA","NA","NA","NA"
"943","2023-00067980","injured/sick person","NA","cbe","2023-08-02","NA","NA","NA","NA","NA"
"944","2023-00068001","suspicious activity","NA","investigation pending","2022-12-21","NA","NA","NA","NA","NA"
"945","2023-00068209","theft","NA","active/pending","2023-08-03","NA","NA","NA","NA","NA"
"946","2023-00068323","assist other agency","other","cbe","2023-08-03","NA","NA","NA","NA","NA"
"947","2023-00068340","peeping tom (title ix related)","NA","cbe","2023-08-02","NA","NA","NA","NA","NA"
"948","2023-00068464","theft","NA","investigation pending","2023-08-03","NA","NA","NA","NA","NA"
"949","2023-00068685","other incident","NA","cbe","2023-08-04","NA","NA","NA","NA","NA"
"950","2023-00069114","stolen motor vehicle","NA","investigation pending","2023-08-04","NA","NA","NA","NA","NA"
"951","2023-00069194","injured/sick person","NA","cbe","2023-08-05","NA","NA","NA","NA","NA"
"952","2023-00069256","found/recovered property","NA","active/pending","2023-08-05","NA","NA","NA","NA","NA"
"953","2023-00069280","suspicious person/auto","NA","cbe","2023-08-06","NA","NA","NA","NA","NA"
"954","2023-00069285","dwi/dui","NA","arrest","2023-08-06","23847","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Driver failure to obey properly placed traffic control device instructions; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-08-06"
"955","2023-00069351","fire","NA","cbe","2023-08-06","NA","NA","NA","NA","NA"
"956","2023-00069425","suspicious activity","NA","active/pending","2023-08-06","NA","NA","NA","NA","NA"
"957","2023-00069460","lost property","NA","cbe","2023-08-06","NA","NA","NA","NA","NA"
"958","2023-00069548","theft from auto","NA","investigation pending","2023-08-07","NA","NA","NA","NA","NA"
"959","2023-00069672","assist other agency","robbery","cbe","2023-08-07","NA","NA","NA","NA","NA"
"960","2023-00069997","injured/sick person","NA","cbe","2023-08-08","NA","NA","NA","NA","NA"
"961","2023-00070043","theft","NA","investigation pending","2023-04-13","NA","NA","NA","NA","NA"
"962","2023-00070644","theft","NA","investigation pending","2023-08-03","NA","NA","NA","NA","NA"
"963","2023-00070650","domestic","NA","cbe","2023-08-10","NA","NA","NA","NA","NA"
"964","2023-00070663","fraud","NA","unfounded","2022-02-16","NA","NA","NA","NA","NA"
"965","2023-00070678","theft","NA","investigation pending","2023-08-09","NA","NA","NA","NA","NA"
"966","2023-00070809","warrant/summons service","NA","arrest","2023-08-11","NA","NA","NA","NA","NA"
"967","2023-00070812","dwi/dui","NA","arrest","2023-08-11","23852","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; Failure to display two lighted front lamps when required; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-08-11"
"968","2023-00070990","injured/sick person","NA","cbe","2023-08-11","NA","NA","NA","NA","NA"
"969","2023-00071024","theft","NA","investigation pending","2023-08-09","NA","NA","NA","NA","NA"
"970","2023-00071030","theft from auto","NA","unfounded","2023-08-08","NA","NA","NA","NA","NA"
"971","2023-00071246","dwi/dui","NA","arrest","2023-08-12","23853","(Driving, Attempting to drive) veh. while impaired by alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol; (Driving, Attempting to drive) veh. while under the influence of alcohol per se; Negligent driving veh. in careless and imprudent manner endangering property, life and person; Reckless driving veh. in wanton and willfull disregard for safety of persons and property","white","male","2023-08-12"
"972","2023-00071420","assist other agency","assault","cbe","2023-08-12","NA","NA","NA","NA","NA"
